nct_id,sponsor_role,sponsor_name,sponsor_class
NCT01886495,LEAD,Isfahan University of Medical Sciences,OTHER
NCT02041754,LEAD,InQpharm Group,INDUSTRY
NCT00263042,LEAD,Sanofi,INDUSTRY
NCT03926052,LEAD,Yale University,OTHER
NCT03926052,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT04844918,LEAD,Eli Lilly and Company,INDUSTRY
NCT04102189,LEAD,Novo Nordisk A/S,INDUSTRY
NCT00165685,LEAD,Eisai Limited,INDUSTRY
NCT04599478,LEAD,Yale University,OTHER
NCT04599478,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT01814072,LEAD,Northwestern University,OTHER
NCT01814072,COLLABORATOR,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
NCT01814072,COLLABORATOR,Penn State University,OTHER
NCT07226765,LEAD,Amgen,INDUSTRY
NCT02754258,LEAD,Children's Hospital of Eastern Ontario,OTHER
NCT02754258,COLLABORATOR,University of Ottawa,OTHER
NCT07684235,LEAD,Amgen,INDUSTRY
NCT00202748,LEAD,Sorlandet Hospital HF,OTHER_GOV
NCT00166699,LEAD,NHS Greater Glasgow and Clyde,OTHER
NCT06904105,LEAD,"Shandong Suncadia Medicine Co., Ltd.",INDUSTRY
NCT00781937,LEAD,Novo Nordisk A/S,INDUSTRY
NCT00896545,LEAD,Stanford University,OTHER
NCT01106053,LEAD,"Neuropsychiatric Research Institute, Fargo, North Dakota",OTHER
NCT00567255,LEAD,"Orexigen Therapeutics, Inc",INDUSTRY
NCT01546792,LEAD,Sheffield Teaching Hospitals NHS Foundation Trust,OTHER
NCT01546792,COLLABORATOR,Sheffield Hallam University,OTHER
NCT00566189,LEAD,"University of Campinas, Brazil",OTHER
NCT00566189,COLLABORATOR,Ethicon Endo-Surgery,INDUSTRY
NCT02963935,LEAD,Novo Nordisk A/S,INDUSTRY
NCT06184568,LEAD,Innovent Biologics (Suzhou) Co. Ltd.,INDUSTRY
NCT03192566,LEAD,Children's National Research Institute,OTHER
NCT02355041,LEAD,Icahn School of Medicine at Mount Sinai,OTHER
NCT00600483,LEAD,Innocoll,INDUSTRY
NCT00600483,COLLABORATOR,Duke University,OTHER
NCT00600483,COLLABORATOR,Premier Research,OTHER
NCT01114451,LEAD,Prisma Health-Upstate,OTHER
NCT02832219,LEAD,"Center for Health Sciences, Serbia",OTHER
NCT02564445,LEAD,University of Pennsylvania,OTHER
NCT06972459,LEAD,Eli Lilly and Company,INDUSTRY
NCT00807768,LEAD,Gynecologic Oncology Group,NETWORK
NCT00807768,COLLABORATOR,National Cancer Institute (NCI),NIH
NCT01724970,LEAD,University of Padova,OTHER
NCT01724970,COLLABORATOR,Azienda Ospedaliera di Padova,OTHER
NCT01242241,LEAD,Baylor College of Medicine,OTHER
NCT00737347,LEAD,Northwestern University,OTHER
NCT00737347,COLLABORATOR,Takeda,INDUSTRY
NCT05064735,LEAD,Novo Nordisk A/S,INDUSTRY
NCT04697381,LEAD,Pfizer,INDUSTRY
NCT00541567,LEAD,Solvay Pharmaceuticals,INDUSTRY
NCT00541567,COLLABORATOR,Bristol-Myers Squibb,INDUSTRY
NCT05457530,LEAD,Prism Health North Texas,OTHER
NCT05457530,COLLABORATOR,Merck Sharp & Dohme LLC,INDUSTRY
NCT02527200,LEAD,Novo Nordisk A/S,INDUSTRY
NCT05649137,LEAD,Novo Nordisk A/S,INDUSTRY
NCT07282600,LEAD,Eli Lilly and Company,INDUSTRY
NCT00823992,LEAD,Hoffmann-La Roche,INDUSTRY
NCT01607177,LEAD,"University of Auckland, New Zealand",OTHER
NCT01607177,COLLABORATOR,"Health Research Council, New Zealand",OTHER
NCT07629544,LEAD,"Chendu DIAO Pharmaceutical Group CO., LTD.",INDUSTRY
NCT07629544,COLLABORATOR,Peking University People's Hospital,OTHER
NCT01552642,LEAD,"University of Wisconsin, Madison",OTHER
